전철역코드,전철역명,호선,역간거리
1910,덕계,01호선,5.3
1911,덕정,01호선,2.9
1912,지행,01호선,5.6
1913,동두천중앙,01호선,1
1914,보산,01호선,1.4
1915,동두천,01호선,1.6
1916,소요산,01호선,2.4
1917,청산,01호선,5.8
1918,전곡,01호선,3.3
1919,연천,01호선,8.7
1948,원흥,03호선,1
1950,삼송,03호선,1
1951,원당,03호선,1
1952,화정,03호선,1
1953,대곡,03호선,1
1954,백석,03호선,1
1955,마두,03호선,1
1956,정발산,03호선,1
1957,주엽,03호선,1
1958,대화,03호선,1
2511,방화,05호선,0
2512,개화산,05호선,0.9
2513,김포공항,05호선,1.2
2514,송정,05호선,1.2
2515,마곡,05호선,1.1
2516,발산,05호선,1.2
2517,우장산,05호선,1.1
2518,화곡,05호선,1
2519,까치산,05호선,1.2
2520,신정,05호선,1.3
2521,목동,05호선,0.8
2522,오목교,05호선,0.9
2523,양평,05호선,1
2524,영등포구청,05호선,0.8
2525,영등포시장,05호선,0.9
2526,신길,05호선,1.1
2527,여의도,05호선,1
2528,여의나루,05호선,1
2529,마포,05호선,1.8
2530,공덕,05호선,0.8
2531,애오개,05호선,1.1
2532,충정로,05호선,0.9
2533,서대문,05호선,0.7
2534,광화문,05호선,1.1
2535,종로3가,05호선,1.2
2536,을지로4가,05호선,1
2537,동대문역사문화공원,05호선,0.9
2538,청구,05호선,0.9
2539,신금호,05호선,0.9
2540,행당,05호선,0.9
2541,왕십리,05호선,0.9
2542,마장,05호선,0.7
2543,답십리,05호선,1
2544,장한평,05호선,1.2
2545,군자,05호선,1.5
2546,아차산,05호선,1
2547,광나루,05호선,1.5
2548,천호,05호선,2
2549,강동,05호선,0.8
2550,길동,05호선,0.9
2551,굽은다리,05호선,0.8
2552,명일,05호선,0.8
2553,고덕,05호선,1.2
2554,상일동,05호선,1.1
2555,둔촌동,05호선,1.2
2556,올림픽공원,05호선,1.4
2557,방이,05호선,0.8
2558,오금,05호선,0.9
2559,개롱,05호선,0.9
2560,거여,05호선,0.9
2561,마천,05호선,0.9
2562,강일,05호선,0.8
2563,미사,05호선,1.7
2564,하남풍산,05호선,2.1
2565,하남시청,05호선,1.3
2566,하남검단산,05호선,1.6
2611,응암,06호선,0
2612,역촌,06호선,1.1
2613,불광,06호선,0.8
2614,독바위,06호선,0.9
2615,연신내,06호선,1.4
2616,구산,06호선,0.9
2617,새절,06호선,0.9
2618,증산,06호선,0.9
2619,디지털미디어시티,06호선,1.1
2620,월드컵경기장,06호선,0.8
2621,마포구청,06호선,0.8
2622,망원,06호선,1
2623,합정,06호선,0.8
2624,상수,06호선,0.8
2625,광흥창,06호선,0.9
2626,대흥,06호선,1
2627,공덕,06호선,0.9
2628,효창공원앞,06호선,0.9
2629,삼각지,06호선,1.2
2630,녹사평,06호선,1.1
2631,이태원,06호선,0.8
2632,한강진,06호선,1
2633,버티고개,06호선,1
2634,약수,06호선,0.7
2635,청구,06호선,0.8
2636,신당,06호선,0.7
2637,동묘앞,06호선,0.6
2638,창신,06호선,0.9
2639,보문,06호선,0.8
2640,안암,06호선,0.9
2641,고려대,06호선,0.8
2642,월곡,06호선,1.4
2643,상월곡,06호선,0.8
2644,돌곶이,06호선,0.8
2645,석계,06호선,1
2646,태릉입구,06호선,0.8
2647,화랑대,06호선,0.9
2648,봉화산,06호선,0.7
2649,신내,06호선,1.3
2711,장암,07호선,0
2712,도봉산,07호선,1.4
2713,수락산,07호선,1.6
2714,마들,07호선,1.4
2715,노원,07호선,1.2
2716,중계,07호선,1.1
2717,하계,07호선,1
2718,공릉,07호선,1.3
2719,태릉입구,07호선,0.8
2720,먹골,07호선,0.9
2721,중화,07호선,0.9
2722,상봉,07호선,1
2723,면목,07호선,0.8
2724,사가정,07호선,0.9
2725,용마산,07호선,0.8
2726,중곡,07호선,0.9
2727,군자,07호선,1.1
2728,어린이대공원,07호선,1.1
2729,건대입구,07호선,0.8
2730,자양,07호선,1
2731,청담,07호선,2
2732,강남구청,07호선,1.1
2733,학동,07호선,0.9
2734,논현,07호선,1
2735,반포,07호선,0.9
2736,고속터미널,07호선,0.9
2737,내방,07호선,2.2
2738,이수,07호선,1
2739,남성,07호선,1
2740,숭실대입구,07호선,2
2741,상도,07호선,0.9
2742,장승배기,07호선,0.9
2743,신대방삼거리,07호선,1.2
2744,보라매,07호선,0.8
2745,신풍,07호선,0.9
2746,대림,07호선,1.4
2747,남구로,07호선,1.1
2748,가산디지털단지,07호선,0.8
2749,철산,07호선,1.4
2750,광명사거리,07호선,1.3
2751,천왕,07호선,1.7
2752,온수,07호선,1.5
2805,별내,08호선,1
2806,다산,08호선,1
2807,동구릉,08호선,1
2808,구리,08호선,1
2809,장자호수공원,08호선,1
2810,암사역사공원,08호선,0
2811,암사,08호선,1.1
2812,천호,08호선,1.3
2813,강동구청,08호선,0.9
2814,몽촌토성,08호선,1.6
2815,잠실,08호선,0.8
2816,석촌,08호선,1.2
2817,송파,08호선,0.9
2818,가락시장,08호선,0.8
2819,문정,08호선,0.9
2820,장지,08호선,0.9
2821,복정,08호선,0.9
2822,산성,08호선,1.2
2823,남한산성입구,08호선,1.3
2824,단대오거리,08호선,0.8
2825,신흥,08호선,0.8
2826,수진,08호선,0.9
2827,모란,08호선,1
2828,남위례,08호선,1.5
3753,까치울,07호선,1
3754,부천종합운동장,07호선,1
3755,춘의,07호선,1
3756,신중동,07호선,1
3757,부천시청,07호선,1
3758,상동,07호선,1
3759,삼산체육관,07호선,1
3760,굴포천,07호선,1
3761,부평구청,07호선,1
3762,산곡,07호선,1
3763,석남,07호선,1
4101,개화,09호선,3.6
4102,김포공항,09호선,0.8
4103,공항시장,09호선,0.8
4104,신방화,09호선,0.9
4105,마곡나루,09호선,1.4
4106,양천향교,09호선,1.3
4107,가양,09호선,0.7
4108,증미,09호선,1
4109,등촌,09호선,0.9
4110,염창,09호선,0.9
4111,신목동,09호선,1.2
4112,선유도,09호선,1
4113,당산,09호선,1.5
4114,국회의사당,09호선,0.9
4115,여의도,09호선,0.8
4116,샛강,09호선,1.2
4117,노량진,09호선,1.1
4118,노들,09호선,1.1
4119,흑석,09호선,1.4
4120,동작,09호선,1
4121,구반포,09호선,0.7
4122,신반포,09호선,0.8
4123,고속터미널,09호선,1.1
4124,사평,09호선,0.9
4125,신논현,09호선,0.8
4126,언주,09호선,0.8
4127,선정릉,09호선,0.9
4128,삼성중앙,09호선,0.8
4129,봉은사,09호선,0.8
4130,종합운동장,09호선,1.4
4131,삼전,09호선,1.4
4132,석촌고분,09호선,0.8
4133,석촌,09호선,1
4134,송파나루,09호선,0.8
4135,한성백제,09호선,0.8
4136,올림픽공원,09호선,1.4
4137,둔촌오륜,09호선,1
4138,중앙보훈병원,09호선,1.7
